Year ,Month,Day ,Gas Price
1995,1,2,1.127
1995,1,9,1.134
1995,1,16,1.126
1995,1,23,1.132
1995,1,30,1.131
1995,2,6,1.124
1995,2,13,1.121
1995,2,20,1.115
1995,2,27,1.121
1995,3,6,1.123
1995,3,13,1.116
1995,3,20,1.114
1995,3,27,1.121
1995,4,3,1.133
1995,4,10,1.149
1995,4,17,1.163
1995,4,24,1.184
1995,5,1,1.194
1995,5,8,1.216
1995,5,15,1.226
1995,5,22,1.244
1995,5,29,1.246
1995,6,5,1.246
1995,6,12,1.243
1995,6,19,1.236
1995,6,26,1.229
1995,7,3,1.222
1995,7,10,1.212
1995,7,17,1.2
1995,7,24,1.191
1995,7,31,1.179
1995,8,7,1.174
1995,8,14,1.172
1995,8,21,1.171
1995,8,28,1.163
1995,9,4,1.16
1995,9,11,1.158
1995,9,18,1.157
1995,9,25,1.156
1995,10,2,1.151
1995,10,9,1.144
1995,10,16,1.133
1995,10,23,1.125
1995,10,30,1.115
1995,11,6,1.112
1995,11,13,1.109
1995,11,20,1.106
1995,11,27,1.107
1995,12,4,1.108
1995,12,11,1.11
1995,12,18,1.124
1995,12,25,1.128
1996,1,1,1.129
1996,1,8,1.139
1996,1,15,1.145
1996,1,22,1.138
1996,1,29,1.133
1996,2,5,1.13
1996,2,12,1.126
1996,2,19,1.133
1996,2,26,1.153
1996,3,4,1.17
1996,3,11,1.171
1996,3,18,1.181
1996,3,25,1.21
1996,4,1,1.223
1996,4,8,1.248
1996,4,15,1.287
1996,4,22,1.301
1996,4,29,1.318
1996,5,6,1.321
1996,5,13,1.323
1996,5,20,1.33
1996,5,27,1.321
1996,6,3,1.315
1996,6,10,1.307
1996,6,17,1.302
1996,6,24,1.289
1996,7,1,1.279
1996,7,8,1.276
1996,7,15,1.273
1996,7,22,1.272
1996,7,29,1.263
1996,8,5,1.253
1996,8,12,1.248
1996,8,19,1.249
1996,8,26,1.253
1996,9,2,1.242
1996,9,9,1.247
1996,9,16,1.25
1996,9,23,1.251
1996,9,30,1.245
1996,10,7,1.239
1996,10,14,1.248
1996,10,21,1.249
1996,10,28,1.26
1996,11,4,1.268
1996,11,11,1.272
1996,11,18,1.282
1996,11,25,1.289
1996,12,2,1.287
1996,12,9,1.287
1996,12,16,1.283
1996,12,23,1.278
1996,12,30,1.274
1997,1,6,1.272
1997,1,13,1.287
1997,1,20,1.287
1997,1,27,1.284
1997,2,3,1.282
1997,2,10,1.28
1997,2,17,1.273
1997,2,24,1.27
